deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
9779696, -0.0539551, -0.0473633, 0.9067383, -2.1252489, 4.0891742, 0.6331645
9920, -0.0537109, -0.0463867, 0.9135743, -2.1373250, 4.0732207, 0.6338853
9800, -0.0571289, -0.0478516, 0.9050293, -2.1486487, 4.0588655, 0.6324687
9788, -0.0522461, -0.0466309, 0.9116211, -2.1614470, 4.0403604, 0.6327052
9800, -0.0583496, -0.0476074, 0.9040528, -2.1731779, 4.0310258, 0.6311469
9776, -0.0551758, -0.0388184, 0.9064942, -2.1761865, 4.0169315, 0.6302842
9800, -0.0578613, -0.0480957, 0.9052735, -2.1913039, 4.0052924, 0.6299363
15880, -0.0532227, -0.0476074, 0.9052735, -2.2045376, 3.9898193, 0.6284026
9808, -0.0532227, -0.0510254, 0.9138184, -2.2202253, 3.9731550, 0.6291234
9788, -0.0549316, -0.0520020, 0.9023438, -2.2373082, 3.9613146, 0.6293599
9760, -0.0515137, -0.0476074, 0.9064942, -2.2488944, 3.9445586, 0.6294589
9768, -0.0588379, -0.0473633, 0.9011231, -2.2591812, 3.9367963, 0.6300271
9772, -0.0578613, -0.0437012, 0.9135743, -2.2659316, 3.9273746, 0.6304426
12320, -0.0539551, -0.0454102, 0.9067383, -2.2738034, 3.9134958, 0.6302083
9812, -0.0527344, -0.0471191, 0.9089356, -2.2852964, 3.8974563, 0.6290970
9764, -0.0554199, -0.0446777, 0.9121094, -2.2927095, 3.8855252, 0.6290587
9760, -0.0563965, -0.0407715, 0.9104004, -2.2954473, 3.8745102, 0.6288439
9756, -0.0488281, -0.0463867, 0.9025879, -2.3060095, 3.8564548, 0.6285308
9748, -0.0541992, -0.0456543, 0.9045411, -2.3137865, 3.8425087, 0.6292516
9776, -0.0541992, -0.0427246, 0.9123536, -2.3187763, 3.8312780, 0.6300377
12308, -0.0532227, -0.0488281, 0.9101563, -2.3305737, 3.8178076, 0.6301699
9812, -0.0595703, -0.0451660, 0.9138184, -2.3374719, 3.8130674, 0.6308186
9764, -0.0551758, -0.0478516, 0.9130860, -2.3474147, 3.8033256, 0.6311925
9776, -0.0549316, -0.0468750, 0.9104004, -2.3569815, 3.7933342, 0.6315664
9764, -0.0524902, -0.0424805, 0.9096680, -2.3611917, 3.7779264, 0.6306799
9756, -0.0590820, -0.0429687, 0.9125977, -2.3647155, 3.7719039, 0.6310538
9764, -0.0524902, -0.0449219, 0.9101563, -2.3721725, 3.7611618, 0.6308586
12292, -0.0493164, -0.0480957, 0.9033204, -2.3835742, 3.7483181, 0.6324563
9812, -0.0485840, -0.0500488, 0.9128418, -2.3956086, 3.7332627, 0.6331051
9760, -0.0534668, -0.0480957, 0.9167481, -2.4039280, 3.7220172, 0.6340660
9760, -0.0529785, -0.0458984, 0.9082032, -2.4103655, 3.7085692, 0.6348521
9760, -0.0561523, -0.0488281, 0.9074707, -2.4187965, 3.6993482, 0.6343515
9768, -0.0576172, -0.0466309, 0.9130860, -2.4260718, 3.6948690, 0.6337635
9756, -0.0556641, -0.0471191, 0.9096680, -2.4316136, 3.6857538, 0.6324996
12300, -0.0566406, -0.0432129, 0.9042969, -2.4340820, 3.6799020, 0.6324486
9788, -0.0559082, -0.0507812, 0.8984375, -2.4458863, 3.6759953, 0.6319981
9768, -0.0544434, -0.0466309, 0.9106446, -2.4534780, 3.6672947, 0.6316850
9768, -0.0634766, -0.0383301, 0.9011231, -2.4512026, 3.6709127, 0.6313023
9784, -0.0527344, -0.0527344, 0.9091797, -2.4622166, 3.6606440, 0.6314014
9764, -0.0500488, -0.0473633, 0.9108887, -2.4704236, 3.6460156, 0.6313588
9764, -0.0515137, -0.0429687, 0.9067383, -2.4711251, 3.6346390, 0.6311831
12320, -0.0524902, -0.0485840, 0.9038086, -2.4802188, 3.6269643, 0.6305323
9784, -0.0583496, -0.0456543, 0.9047852, -2.4859089, 3.6243731, 0.6315585
9764, -0.0515137, -0.0485840, 0.9086915, -2.4944982, 3.6128048, 0.6327569
9768, -0.0561523, -0.0434570, 0.9072266, -2.4941389, 3.6081395, 0.6334776
9776, -0.0559082, -0.0476074, 0.9060059, -2.5011925, 3.6014218, 0.6325190
9740, -0.0583496, -0.0478516, 0.9116211, -2.5070879, 3.5981743, 0.6327555
9776, -0.0559082, -0.0439453, 0.9116211, -2.5085265, 3.5930316, 0.6324424
12300, -0.0546875, -0.0485840, 0.9121094, -2.5147070, 3.5848345, 0.6330674
9792, -0.0581055, -0.0437012, 0.9040528, -2.5178782, 3.5849070, 0.6331665
17232, -0.0554199, -0.0500488, 0.9023438, -2.5302541, 3.5792498, 0.6333647
12060, -0.0561523, -0.0400391, 0.9101563, -2.5295796, 3.5763642, 0.6340465
9864, -0.0534668, -0.0454102, 0.9047852, -2.5325498, 3.5692355, 0.6342830
9788, -0.0512695, -0.0483398, 0.9123536, -2.5396304, 3.5599186, 0.6357476
67356, -0.0559082, -0.0424805, 0.9006348, -2.5424964, 3.5564720, 0.6303479
9816, -0.0595703, -0.0488281, 0.9069825, -2.5498628, 3.5581369, 0.6298974
9784, -0.0522461, -0.0527344, 0.9140625, -2.5613057, 3.5501403, 0.6296827
9792, -0.0532227, -0.0527344, 0.9082032, -2.5728430, 3.5414502, 0.6307435
9776, -0.0568848, -0.0434570, 0.9018555, -2.5722138, 3.5409758, 0.6300903
9776, -0.0581055, -0.0473633, 0.9106446, -2.5764532, 3.5392911, 0.6293650
9800, -0.0566406, -0.0439453, 0.9084473, -2.5762887, 3.5365602, 0.6293224
12312, -0.0590820, -0.0456543, 0.9145508, -2.5800354, 3.5369496, 0.6300042
9776, -0.0588379, -0.0468750, 0.9072266, -2.5836629, 3.5379703, 0.6317937
9764, -0.0495605, -0.0439453, 0.9079590, -2.5839781, 3.5255935, 0.6324424
9768, -0.0546875, -0.0449219, 0.9084473, -2.5845212, 3.5197384, 0.6330674
9772, -0.0537109, -0.0478516, 0.8984375, -2.5904791, 3.5156488, 0.6328917
9780, -0.0578613, -0.0434570, 0.9121094, -2.5899446, 3.5123798, 0.6337651
9780, -0.0563965, -0.0554199, 0.9050293, -2.6027534, 3.5086555, 0.6351008
12248, -0.0554199, -0.0427246, 0.9057618, -2.6042842, 3.5055375, 0.6340532
9800, -0.0517578, -0.0471191, 0.9096680, -2.6078350, 3.4976396, 0.6340106
9760, -0.0556641, -0.0505371, 0.9111329, -2.6165735, 3.4921779, 0.6338349
9780, -0.0551758, -0.0490723, 0.9123536, -2.6219823, 3.4887592, 0.6322656
9784, -0.0571289, -0.0473633, 0.9057618, -2.6250278, 3.4871692, 0.6318151
9776, -0.0561523, -0.0495605, 0.9074707, -2.6306328, 3.4851672, 0.6311619
9764, -0.0578613, -0.0422363, 0.9167481, -2.6280260, 3.4857189, 0.6300243
12300, -0.0563965, -0.0495605, 0.8974610, -2.6339302, 3.4836549, 0.6306493
9796, -0.0498047, -0.0444336, 0.9035645, -2.6349971, 3.4729039, 0.6304736
9772, -0.0512695, -0.0458984, 0.9050293, -2.6370561, 3.4654812, 0.6305947
9772, -0.0590820, -0.0515137, 0.9140625, -2.6439476, 3.4663224, 0.6298694
9768, -0.0512695, -0.0493164, 0.9016114, -2.6499929, 3.4588534, 0.6286054
9780, -0.0502930, -0.0449219, 0.9106446, -2.6496877, 3.4484379, 0.6287045
9760, -0.0583496, -0.0478516, 0.9089356, -2.6537964, 3.4477689, 0.6296654
12304, -0.0556641, -0.0510254, 0.9060059, -2.6619668, 3.4473462, 0.6279654
9800, -0.0522461, -0.0461426, 0.9094239, -2.6631021, 3.4389574, 0.6295761
