deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
9778344, -0.0666504, -0.0356445, 0.9064942, -3.8096327, 4.6372222, -1.7027043
9944, -0.0666504, -0.0339355, 0.9020997, -3.7714118, 4.6269087, -1.7040867
9824, -0.0727539, -0.0371094, 0.9018555, -3.7403497, 4.6253399, -1.7040944
9832, -0.0693359, -0.0378418, 0.9069825, -3.7088298, 4.6149063, -1.7051714
9832, -0.0642090, -0.0417480, 0.9079590, -3.6840968, 4.6018586, -1.7060203
9800, -0.0683594, -0.0358887, 0.9038086, -3.6517028, 4.5940465, -1.7071271
9824, -0.0659180, -0.0412598, 0.9074707, -3.6270041, 4.5805354, -1.7083569
106852, -0.0664063, -0.0361328, 0.8989258, -3.6015100, 4.5981945, -1.6970118
9880, -0.0605469, -0.0429687, 0.8994141, -3.5832226, 4.5795297, -1.6947301
9820, -0.0654297, -0.0285645, 0.9064942, -3.5450389, 4.5695424, -1.6946003
9816, -0.0644531, -0.0336914, 0.9040528, -3.5146744, 4.5582118, -1.6947613
9840, -0.0656738, -0.0380859, 0.9045411, -3.4891326, 4.5489263, -1.6937011
9820, -0.0649414, -0.0312500, 0.9040528, -3.4565093, 4.5378575, -1.6927468
12340, -0.0654297, -0.0344238, 0.8940430, -3.4298400, 4.5278115, -1.6920241
9848, -0.0639648, -0.0351562, 0.8989258, -3.4036030, 4.5188217, -1.6929485
9812, -0.0661621, -0.0339355, 0.9045411, -3.3765642, 4.5084261, -1.6938730
9828, -0.0598145, -0.0358887, 0.9060059, -3.3506376, 4.4920539, -1.6935760
9804, -0.0695801, -0.0354004, 0.9072266, -3.3261601, 4.4863095, -1.6944080
9792, -0.0676270, -0.0351562, 0.8984375, -3.3005938, 4.4795141, -1.6941408
9824, -0.0637207, -0.0346680, 0.9077149, -3.2759990, 4.4700574, -1.6953705
12312, -0.0654297, -0.0327148, 0.9020997, -3.2487454, 4.4619960, -1.6945876
9860, -0.0681152, -0.0388184, 0.8979493, -3.2302765, 4.4576168, -1.6943202
9824, -0.0673828, -0.0339355, 0.9033204, -3.2040112, 4.4504837, -1.6934126
9828, -0.0666504, -0.0410156, 0.9072266, -3.1886494, 4.4428973, -1.6939698
9808, -0.0659180, -0.0397949, 0.9023438, -3.1726355, 4.4340109, -1.6951995
9812, -0.0712891, -0.0314941, 0.9116211, -3.1449308, 4.4308133, -1.6950553
9840, -0.0710449, -0.0300293, 0.9086915, -3.1173603, 4.4281530, -1.6953377
12324, -0.0690918, -0.0378418, 0.8981934, -3.0979545, 4.4223160, -1.6946149
9852, -0.0700684, -0.0346680, 0.9074707, -3.0770466, 4.4186906, -1.6941204
9792, -0.0661621, -0.0397949, 0.9062500, -3.0635340, 4.4103951, -1.6938531
9808, -0.0700684, -0.0310059, 0.9082032, -3.0386521, 4.4069137, -1.6948225
