deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
9956064, -0.0212402, -0.0131836, 0.9099122, -0.4569837, 0.7932258, 1.1683537
9924, -0.0192871, -0.0129395, 0.9101563, -0.4636647, 0.8042982, 1.1662728
9808, -0.0214844, -0.0043945, 0.9165040, -0.4569209, 0.8139330, 1.1671668
9796, -0.0249023, -0.0100098, 0.9145508, -0.4584990, 0.8294481, 1.1688241
9784, -0.0253906, -0.0144043, 0.9118653, -0.4634409, 0.8434901, 1.1663310
9796, -0.0183105, -0.0070801, 0.9104004, -0.4654549, 0.8444388, 1.1676830
9788, -0.0197754, -0.0053711, 0.9177247, -0.4600210, 0.8513223, 1.1662890
12340, -0.0227051, -0.0153809, 0.9057618, -0.4707791, 0.8614194, 1.1640771
9812, -0.0190430, -0.0146484, 0.9133301, -0.4781721, 0.8677421, 1.1623756
9800, -0.0217285, -0.0161133, 0.9174805, -0.4889428, 0.8805888, 1.1635924
9776, -0.0302734, -0.0146484, 0.9162598, -0.4977979, 0.8975754, 1.1644864
9784, -0.0227051, -0.0109863, 0.9150391, -0.4995192, 0.9112510, 1.1647413
9788, -0.0187988, -0.0214844, 0.9133301, -0.5169869, 0.9159564, 1.1631926
12360, -0.0209961, -0.0112305, 0.9123536, -0.5227730, 0.9240892, 1.1606012
9816, -0.0229492, -0.0161133, 0.9165040, -0.5300287, 0.9390753, 1.1624112
9792, -0.0239258, -0.0141602, 0.9165040, -0.5370882, 0.9505900, 1.1644524
9764, -0.0236816, -0.0095215, 0.9111329, -0.5383507, 0.9581281, 1.1645960
9788, -0.0217285, -0.0122070, 0.9160157, -0.5427723, 0.9671669, 1.1659502
9780, -0.0163574, -0.0166016, 0.9064942, -0.5495402, 0.9723557, 1.1647068
9788, -0.0283203, -0.0136719, 0.9152832, -0.5563666, 0.9874635, 1.1639999
12336, -0.0224609, -0.0097656, 0.9228516, -0.5542085, 0.9962514, 1.1663551
9820, -0.0195312, -0.0097656, 0.9177247, -0.5542589, 1.0006235, 1.1672971
9792, -0.0244141, -0.0178223, 0.9147950, -0.5632736, 1.0134838, 1.1691070
9792, -0.0229492, -0.0095215, 0.9177247, -0.5694002, 1.0216048, 1.1708735
9784, -0.0270996, -0.0117188, 0.9143067, -0.5717861, 1.0357283, 1.1700094
9776, -0.0227051, -0.0109863, 0.9162598, -0.5741647, 1.0429681, 1.1687530
9788, -0.0195312, -0.0053711, 0.9157715, -0.5691158, 1.0415040, 1.1688835
12352, -0.0197754, -0.0107422, 0.9111329, -0.5702424, 1.0456575, 1.1692234
9848, -0.0158691, -0.0126953, 0.9177247, -0.5726272, 1.0435780, 1.1684379
9808, -0.0183105, -0.0112305, 0.9113770, -0.5751543, 1.0468275, 1.1691050
9784, -0.0214844, -0.0092773, 0.9118653, -0.5748950, 1.0520536, 1.1703042
9784, -0.0219727, -0.0043945, 0.9130860, -0.5714789, 1.0545809, 1.1724828
9768, -0.0266113, -0.0131836, 0.9111329, -0.5748156, 1.0656127, 1.1681859
9808, -0.0222168, -0.0117188, 0.9169922, -0.5792658, 1.0689043, 1.1666371
12352, -0.0214844, -0.0100098, 0.9160157, -0.5736353, 1.0732566, 1.1658778
9828, -0.0151367, -0.0063477, 0.9150391, -0.5684898, 1.0688587, 1.1681457
9784, -0.0153809, -0.0190430, 0.9250489, -0.5809228, 1.0667862, 1.1707191
9772, -0.0200195, -0.0095215, 0.9133301, -0.5793518, 1.0712419, 1.1705443
9784, -0.0253906, -0.0053711, 0.9094239, -0.5794392, 1.0821024, 1.1708276
9768, -0.0219727, -0.0112305, 0.9057618, -0.5803781, 1.0883523, 1.1706703
9792, -0.0209961, -0.0102539, 0.9167481, -0.5829496, 1.0918262, 1.1706483
12344, -0.0268555, -0.0056152, 0.9152832, -0.5794864, 1.1050045, 1.1680394
9800, -0.0231934, -0.0107422, 0.9084473, -0.5829974, 1.1127903, 1.1673325
9796, -0.0192871, -0.0126953, 0.9174805, -0.5886652, 1.1077475, 1.1647150
9788, -0.0197754, -0.0161133, 0.9160157, -0.5958167, 1.1091270, 1.1644203
9808, -0.0290527, -0.0119629, 0.9130860, -0.6014459, 1.1205673, 1.1631768
9776, -0.0261230, -0.0100098, 0.9108887, -0.6001653, 1.1293458, 1.1614754
9768, -0.0222168, -0.0085449, 0.9045411, -0.5999424, 1.1346704, 1.1581578
12352, -0.0217285, -0.0114746, 0.9064942, -0.5995993, 1.1438111, 1.1555664
9840, -0.0126953, -0.0109863, 0.9094239, -0.6035675, 1.1392514, 1.1560460
17344, -0.0222168, -0.0158691, 0.9135743, -0.6134763, 1.1456992, 1.1575657
12132, -0.0227051, -0.0053711, 0.9152832, -0.6097476, 1.1555755, 1.1553407
9884, -0.0197754, -0.0129395, 0.9116211, -0.6152251, 1.1586213, 1.1540843
9812, -0.0151367, -0.0129395, 0.9167481, -0.6193286, 1.1552994, 1.1543959
19720, -0.0249023, -0.0161133, 0.9167481, -0.6205858, 1.1699570, 1.1549341
9864, -0.0268555, -0.0080566, 0.9096680, -0.6171377, 1.1861052, 1.1572021
9800, -0.0234375, -0.0158691, 0.9121094, -0.6246829, 1.1913579, 1.1584013
9836, -0.0156250, -0.0126953, 0.9145508, -0.6269340, 1.1880748, 1.1563946
9812, -0.0100098, -0.0126953, 0.9145508, -0.6305364, 1.1804888, 1.1576113
9804, -0.0214844, -0.0097656, 0.9135743, -0.6313775, 1.1857272, 1.1562174
9828, -0.0285645, -0.0102539, 0.9162598, -0.6311897, 1.1944106, 1.1543458
12356, -0.0256348, -0.0048828, 0.9143067, -0.6254206, 1.2091619, 1.1572506
9800, -0.0222168, -0.0085449, 0.9184571, -0.6234591, 1.2122027, 1.1584674
9812, -0.0214844, -0.0136719, 0.9118653, -0.6313687, 1.2150419, 1.1595140
9812, -0.0229492, -0.0122070, 0.9121094, -0.6307114, 1.2183278, 1.1567438
9796, -0.0192871, -0.0095215, 0.9191895, -0.6308033, 1.2188682, 1.1567239
